iter	Logloss
0	0.2944710475
1	0.1684754849
2	0.1272184387
3	0.1031337857
4	0.08069244824
5	0.07117855877
6	0.05603892555
7	0.0521683456
8	0.0473873243
9	0.03934634148
10	0.03563051347
11	0.02906505369
12	0.0252153782
13	0.02016045233
14	0.01893335352
15	0.01599617259
16	0.01465817954
17	0.01310263224
18	0.01191929358
19	0.01073724815
20	0.009543347449
21	0.009087259766
22	0.00831882481
23	0.007795632439
24	0.007494071402
25	0.007248958507
26	0.006786377777
27	0.006413575949
28	0.005954721854
29	0.005491026027
30	0.005206111775
31	0.005088053706
32	0.004872800361
33	0.004687737671
34	0.004518637332
35	0.004393564564
36	0.004235260338
37	0.00410176336
38	0.003896947
39	0.003787447606
40	0.003705911512
41	0.00352403561
42	0.003414067849
43	0.003311619545
44	0.003088192048
45	0.00302939919
46	0.002984991548
47	0.002892134205
48	0.002855841172
49	0.002822583617
50	0.002764695012
51	0.002704004268
52	0.002662378339
53	0.002612710078
54	0.002556028982
55	0.002457407155
56	0.002433455937
57	0.00240532673
58	0.002333107307
59	0.00228008945
60	0.002197554867
61	0.002129037317
62	0.002077694143
63	0.002027219326
64	0.002005298061
65	0.001970718435
66	0.001945004091
67	0.001817194526
68	0.001753240044
69	0.001719465304
70	0.001619604093
71	0.001537075596
72	0.001490904549
73	0.001432971294
74	0.00143291093
75	0.001409468658
76	0.001409468658
77	0.001368090403
78	0.001302698586
79	0.001302688135
80	0.001302666904
81	0.001302656469
82	0.00130264604
83	0.001302562553
84	0.001302479368
85	0.001302468999
86	0.001302458634
87	0.001302448253
88	0.001302437876
89	0.001302427526
90	0.001302417158
91	0.001302406795
92	0.001302396459
93	0.001302386106
94	0.001302344812
95	0.001302303508
96	0.001302262277
97	0.001302221121
98	0.001302200575
99	0.001302180048
100	0.00130213904
101	0.001302118568
102	0.001302098115
103	0.00130207768
104	0.001302036857
105	0.001301996107
106	0.00130195543
107	0.001301914827
108	0.001301874297
109	0.0013017606
110	0.001301740436
111	0.00130172029
112	0.001301639837
113	0.001275595867
114	0.00122814971
115	0.001228092042
116	0.001214803874
117	0.001214803874
118	0.001214792631
119	0.001214781394
120	0.001214737522
121	0.001214726295
122	0.001214703854
123	0.001214681974
124	0.001214659558
125	0.001214637162
126	0.001214614787
127	0.001214592432
128	0.001214570096
129	0.001214547782
130	0.001214525487
131	0.001214525487
132	0.001214525487
133	0.001214525487
134	0.001214525487
135	0.001214525487
136	0.001214525487
137	0.001214525487
138	0.001214525487
139	0.001214525487
140	0.001214525487
141	0.001214525487
142	0.001214525487
143	0.001214525487
144	0.001214525487
145	0.001214525487
146	0.001214525487
147	0.001214525487
148	0.001214525487
149	0.001214525487
150	0.001214525487
151	0.001214525487
152	0.001214525487
153	0.001214525487
154	0.001214525487
155	0.001214525487
156	0.001214525487
157	0.001214525487
158	0.001214525487
159	0.001214525487
160	0.001214525487
161	0.001214525487
162	0.001214525487
163	0.001214525487
164	0.001214525487
165	0.001214525487
166	0.001214525487
167	0.001214525487
168	0.001214525487
169	0.001214525487
170	0.001214525487
171	0.001214525487
172	0.001214525487
173	0.001214525487
174	0.001214525487
175	0.001214525487
176	0.001214525487
177	0.001214525487
178	0.001214525487
179	0.001214525487
180	0.001214525487
181	0.001214525487
182	0.001214525487
183	0.001214525487
184	0.001214525487
185	0.001214525487
186	0.001214525487
187	0.001214525487
188	0.001214525487
189	0.001214525487
190	0.001214525487
191	0.001214525487
192	0.001214525487
193	0.001214525487
194	0.001214525487
